State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,literacy_rate,sex_ratio,Male_literacy_rate,Female_literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,2399901,275970,15422,1377,25510,617,322,54.11,100.15,62.53,45.71
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,3599372,443456,20463,932,341,1417,309,56.63,97.68,64.83,48.22
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,3737588,397870,24129,867,253,1322,358,63.92,99.7,71.04,56.77
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,4983330,77777,77825,738,413,4149,403,63.8,100.58,66.81,60.81
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,4217597,559770,89763,764,323,3282,332,60.57,100.28,66.98,54.17
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,2046051,1713405,87522,11446,1268,19560,1929,73.34,95.35,76.42,70.11
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,3491139,244723,24979,2086,332,312,115,58.44,100.78,66.85,50.1
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,2595321,158887,33463,655,217,459,539,58.28,101.11,64.82,51.81
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,4023678,307043,145598,1393,863,6320,906,66.63,99.23,70.52,62.7
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,3328380,670737,33165,737,255,2235,434,52.48,98.77,61.12,43.73
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,1158386,782260,708954,356099,352855,364269,187035,177234,2082501,1140067,942434,3673456,334172,21345,658,290,388,267,47.88,97.67,56.5,39.06
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,953406,683731,537947,266413,271534,168985,86574,82411,1442203,837874,604329,2637313,342449,34301,1309,554,457,217,53.97,99.16,62.6,45.27
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,1160757,840262,637385,318359,319026,394279,203876,190403,1741693,976428,765265,3249231,188646,35025,937,241,250,132,57.36,98.25,65.96,48.6
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,790214,599596,371074,178798,192276,192941,95679,97262,1261076,684320,576756,2123426,391596,19653,2357,1847,542,146,54.47,104.0,63.18,46.1
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,1107686,796749,787861,397242,390619,151145,76677,74468,1700567,991842,708725,3150195,220654,18775,266,97,204,206,56.05,98.13,64.6,47.35
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,857824,637557,255664,125214,130450,166118,81382,84736,1290288,766483,523805,2666950,9025,18879,193,77,160,106,55.32,101.46,63.93,46.83
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,707503,530885,247728,121493,126235,235556,114687,120869,1157962,679289,478673,2299129,16423,17853,380,114,815,183,52.82,101.85,60.91,44.88
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,616102,307709,308393,530656,268976,261680,1705655,960926,744729,3273755,197333,31377,1453,253,569,126,58.79,99.66,67.06,50.49
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,811698,403693,408005,109072,53367,55705,1773112,1199338,573774,3733191,86142,109120,288,209,1578,211,67.37,100.36,70.19,64.56
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,0,0,0,53878,27061,26817,62966,39329,23637,47683,2134,35969,94,50381,95,11738,49.37,92.63,57.22,40.89
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,0,0,0,72400,35266,37134,31710,16424,15286,12333,652,37136,36,452,23,27868,48.86,102.94,55.7,42.21
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,34210,28366,0,0,0,69979,34533,35446,40222,23591,16631,27854,2289,18254,69,776,30,49393,63.07,97.97,68.26,57.77
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,0,0,0,90764,44459,46305,38044,18429,19615,4859,471,51189,43,121,81,34158,39.76,103.18,44.7,34.96
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,0,0,0,47410,23457,23953,60945,38910,22035,99020,3846,10684,210,24452,104,7277,57.0,91.19,63.47,49.9
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,0,0,0,25974,12649,13325,22326,14102,8224,28915,2247,9213,33,2932,19,10393,58.89,92.78,64.47,52.88
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,0,0,0,72911,35803,37108,30202,17339,12863,9551,1482,34402,27,193,13,37085,65.11,98.43,70.43,59.7
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,0,0,0,117216,56469,60747,65772,41263,24509,57027,6148,84397,310,4768,139,22586,68.55,97.99,73.77,63.23
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,17720,8353,0,0,0,34811,16770,18041,28561,19554,9007,11842,787,776,1164,34920,72,349,52.17,71.44,60.79,40.11
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,29313,18661,0,0,0,98372,49365,49007,50169,27545,22624,20682,1103,83361,61,778,43,5325,42.84,94.39,50.89,34.32
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,10723,7472,0,0,0,28468,14413,14055,17644,9968,7676,5261,411,5643,27,2577,7,20967,51.51,88.89,57.35,44.96
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,24807,20471,0,0,0,78323,38570,39753,33370,17898,15472,13474,521,8779,28,297,11,59449,54.26,99.84,59.41,49.1
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,0,0,0,46380,22771,23609,42493,28313,14180,31265,1970,8466,328,36087,71,5556,57.77,81.88,64.06,50.08
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,0,0,0,92783,45746,47037,49177,29156,20021,15881,2218,29969,577,3311,49,60005,57.67,93.02,63.23,51.69
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,95320,49165,46155,27344,13530,13814,561824,445297,116527,492966,1198036,1020,112,49,399,14,52.97,95.34,57.56,48.15
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,82784,42513,40271,18835,9377,9458,255806,197542,58264,359145,371033,5924,384,236,871,9,58.75,96.59,63.09,54.26
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,264897,136051,128846,17569,8736,8833,608062,469752,138310,1038985,654816,37635,280,341,1673,98,67.61,95.94,72.21,62.82
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,40260,20566,19694,8419,4300,4119,324843,246864,77979,327322,597392,1688,431,57,724,19,52.45,95.36,56.53,48.18
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,44225,23006,21219,325560,165449,160111,316800,186577,130223,655052,13475,8711,297,911,167,6315,61.65,95.34,67.69,55.32
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,58876,30517,28359,102871,51835,51036,560557,368013,192544,1198401,64526,52968,2261,4673,1055,46,66.69,96.08,72.64,60.5
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,45094,22999,22095,231570,116013,115557,362573,267118,95455,347878,579929,77862,771,194,477,103,55.9,96.42,59.28,52.39
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,396475,325289,62298,31807,30491,111765,56420,55345,479928,309104,170824,917426,90312,50582,1131,3863,530,1347,67.65,96.42,72.99,62.11
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,226836,180530,70659,36369,34290,691,354,337,214240,170792,43448,251194,397653,8480,84,490,247,636,61.79,95.12,67.13,56.17
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,432335,362594,88665,45194,43471,139971,70795,69176,498618,320746,177872,1008219,54684,21051,1540,2378,719,578,72.78,96.16,77.65,67.72
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,550219,445100,107827,55237,52590,182038,92094,89944,628954,428492,200462,877495,601784,33297,319,185,1330,55,65.59,94.94,70.68,60.22
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,314253,242961,44961,23436,21525,538738,272460,266278,383441,246193,137248,766000,20290,157789,370,6260,397,3568,58.27,95.1,64.11,52.12
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,435942,359355,157890,81384,76506,1940,994,946,399171,319798,79373,521962,692489,11990,114,446,524,110,64.73,96.32,69.65,59.61
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,275220,214085,29570,15386,14184,278665,139579,139086,341131,236322,104809,529068,252271,101091,93,1718,396,123,55.16,95.88,60.77,49.3
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,375552,307934,81840,41689,40151,249426,126716,122710,429995,282250,147745,797130,193476,46217,412,1074,250,2410,65.59,96.75,70.9,60.09
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,921850,788866,266350,136473,129877,115153,57759,57394,979998,766728,213270,1225246,1563203,26844,3036,1073,1162,61,60.58,96.22,64.06,56.97
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,293184,238587,60216,30654,29562,23364,11692,11672,267623,210202,57421,491582,277488,429,62,27,1004,9,68.91,94.86,74.04,63.52
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,620525,488047,109130,55817,53313,232207,117685,114522,770606,537195,233411,1422824,350536,138166,1363,5088,1003,221,57.61,95.56,63.07,51.91
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,453449,344873,37688,19443,18245,82066,41769,40297,557196,366623,190573,1181347,48373,76877,1999,16228,837,395,60.12,95.22,66.66,53.25
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,727643,468125,382654,198247,184407,38848,19887,18961,1069893,708391,361502,1593525,1207442,4116,371,187,1910,63,42.53,92.13,49.73,34.72
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,868733,597269,612064,316161,295903,1033,500,533,837770,599157,238613,2291133,237353,2218,295,334,775,19,57.71,92.62,65.88,48.9
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,1430936,1072901,539368,277228,262140,143366,73876,69490,1575079,1015864,559215,2545438,786677,15991,5142,309093,30981,1005,67.65,92.33,74.35,60.38
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,590961,374360,247858,129663,118195,90432,45901,44531,771080,517817,253263,1772655,250925,6138,139,113,94,1035,47.44,90.67,55.38,38.69
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,918507,630166,432270,227481,204789,1597,848,749,938182,715345,222837,2554330,407348,2209,402,229,276,57,52.13,89.49,58.59,44.92
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,937669,635397,318569,169667,148902,67180,35545,31635,983528,740056,243472,2487866,537098,3556,415,180,1050,32,51.78,88.02,58.04,44.68
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,973486,625665,425402,222716,202686,13977,7363,6614,822493,640283,182210,2518216,197819,2165,544,647,1472,48,58.61,90.75,68.06,48.2
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,593544,396263,251737,131821,119916,26824,14102,12722,538322,402180,136142,1591454,105423,2125,248,5090,97,57,58.01,92.16,66.84,48.42
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,1125566,691068,615688,322327,293361,2772,1361,1411,1223640,947927,275713,3042729,881476,3534,832,245,236,101,46.14,91.14,54.64,36.81
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,1368803,928810,1334351,683943,650408,3098,1635,1463,1664062,1076170,587892,3876395,488121,3943,913,870,1723,108,52.32,93.75,60.39,43.71
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,793905,589093,320064,159265,160799,60807,29833,30974,728201,539586,188615,2119262,436057,2463,271,167,133,28,53.98,102.1,62.63,45.51
